name,firstName,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,country,id,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,lastName,teamId,shirtNumber,jerseyNumber,position,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,savedShotsFromInsideTheBox,saves,punches,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,totalBallCarriesDistance,ballCarriesCount,totalProgression,progressiveBallCarriesCount,keeperSaveValue,ratingVersions,totalShots,goalsPrevented,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,totalCross,duelLost,duelWon,totalContest,wonContest,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,fouls,bestBallCarryProgression,totalProgressiveBallCarriesDistance,keyPass,aerialLost,aerialWon,shotOffTarget,onTargetScoringAttempt,goals,outfielderBlock,interceptionWon,expectedGoals,expectedGoalsOnTarget,shotValueNormalized,bigChanceMissed,dispossessed,blockedScoringAttempt,accurateCross,challengeLost,bigChanceCreated,clearanceOffLine,totalOffside,teamName,captain,match_id
Erikys,,erikys,Erikys,F,11,185.0,27,M,8e388w,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",870665,EUR,800496000,"{'value': 580000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيريكيس', 'ru': 'Эрикис'}, 'shortNameTranslation': {'ar': 'إيريكيس', 'ru': 'Эрикис'}}",,196341,11,11,F,False,15.0,14.0,3.0,2.0,0.0,7.0,7.0,7.0,8.0,,1.0,,,,,,90.0,29.0,9.2,7.0,0.00759099,81.769773711573,10.0,37.498582941262,2.0,,"{'original': 9.2, 'alternative': 8.6}",3,,-0.01,0.36,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",,5.0,4.0,2.0,,,,4.0,3.0,1.0,18.762616537278,33.957655299001,1.0,2.0,3.0,,3.0,2.0,1.0,,0.7054,1.2078,0.94,,,,,,,,1.0,Jiangxi Dingnan United,,15657868
Yuanming Xiao,Yuanming,yuanming-xiao,Y. Xiao,G,31,,0,M,vn9hkv,"{'alpha2': 'CN', 'alpha3': 'CHN', 'name': 'China', 'slug': 'china'}",2283211,EUR,1139702400,,"{'nameTranslation': {'ar': 'يوانمينغ شياو', 'ru': 'Юаньмин Сяо'}, 'shortNameTranslation': {'ar': 'ي. شياو', 'ru': 'Ю. Сяо'}}",Xiao,196341,31,31,G,True,17.0,4.0,16.0,4.0,0.0,1.0,3.0,3.0,14.0,2.0,10.0,3.0,4.0,,,,49.0,26.0,7.5,13.0,0.0006727,,,,,0.8891,"{'original': 7.5, 'alternative': 6.4}",0,0.1883,0.06,,-0.07,0.52,"{'sportSlug': 'football', 'statisticsType': 'player'}",,,2.0,,,,,,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,Jiangxi Dingnan United,,15657868
Hao Yucheng,Hao,hao-yucheng,H. Yucheng,D,34,180.0,2,M,wr87px,"{'alpha2': 'CN', 'alpha3': 'CHN', 'name': 'China', 'slug': 'china'}",1804301,EUR,1098576000,"{'value': 77000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'هاو يوتشنغ', 'ru': 'Хао Юйчэн'}, 'shortNameTranslation': {'ar': 'ه. يوتشنغ', 'ru': 'Х. Юйчэн'}}",Yucheng,196341,34,34,D,True,8.0,5.0,3.0,1.0,0.0,1.0,3.0,4.0,5.0,1.0,2.0,,,,,,32.0,13.0,6.3,4.0,0.0079206,29.408979377465,2.0,25.929158418272,1.0,,"{'original': 6.3, 'alternative': 6.2}",1,,0.17,0.22,-0.36,,"{'sportSlug': 'football', 'statisticsType': 'player'}",,,1.0,,,,,,,,22.33853242659,24.544107745037,,,1.0,,,,,,0.0669,,-0.1,,,1.0,,,,,,Jiangxi Dingnan United,,15657868
Su Gao,Su Gao,su-gao,S. Gao,M,22,176.0,1,M,hevgxz,"{'alpha2': 'CN', 'alpha3': 'CHN', 'name': 'China', 'slug': 'china'}",2115612,EUR,1110844800,"{'value': 27000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'سو قاو', 'ru': 'Су Гао'}, 'shortNameTranslation': {'ar': 'س. قاو', 'ru': 'С. Гао'}}",,196341,22,22,M,True,11.0,9.0,2.0,1.0,0.0,4.0,4.0,5.0,7.0,,,,,,,,32.0,16.0,6.7,3.0,0.0447589,17.080065462499,4.0,11.673066972479,0.0,,"{'original': 6.7, 'alternative': 6.7}",2,,0.13,0.03,-0.02,,"{'sportSlug': 'football', 'statisticsType': 'player'}",,1.0,2.0,,,2.0,2.0,,,1.0,,,,,,1.0,1.0,,,,0.0342,0.0178,-0.11,,1.0,,,,,,,Jiangxi Dingnan United,,15657868
Manuel Palacios,,manuel-palacios,M. Palacios,M,7,183.0,116,M,hvdn8c,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",285823,EUR,729561600,"{'value': 190000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مانويل بالاسيوس', 'ru': 'Мануэль Палациос'}, 'shortNameTranslation': {'ar': 'م. بالاسيوس', 'ru': 'М. Палациос'}}",,196341,7,7,F,True,4.0,3.0,,,0.0,2.0,2.0,1.0,2.0,,3.0,,,,,,20.0,12.0,6.9,4.0,0.00625189,36.093844291288,4.0,14.055866006105,1.0,,"{'original': 6.9, 'alternative': 6.8}",1,,0.01,0.12,0.19,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1.0,,3.0,1.0,1.0,1.0,1.0,1.0,1.0,,15.365979006295,17.684033928943,,,,,,,,,0.1089,,0.01,,,1.0,,,,,,Jiangxi Dingnan United,,15657868
Marcel Petrov,,marcel-petrov,M. Petrov,F,37,182.0,45,M,eks6tr,"{'alpha2': 'SI', 'alpha3': 'SVN', 'name': 'Slovenia', 'slug': 'slovenia'}",1126636,EUR,1142812800,"{'value': 69000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مارسيل بتروف', 'ru': 'Марсель Петров'}, 'shortNameTranslation': {'ar': 'م. بتروف', 'ru': 'М. Петров'}}",,196341,37,37,F,True,1.0,1.0,,,0.0,,,1.0,1.0,,,,,,,,20.0,5.0,6.3,1.0,0.00114815,9.8636062877631,1.0,-8.997748471239,0.0,,"{'original': 6.3, 'alternative': 6.4}",0,,-0.01,0.05,-0.03,,"{'sportSlug': 'football', 'statisticsType': 'player'}",,5.0,1.0,,,1.0,1.0,,,2.0,,,,1.0,,,,,,,,,,,1.0,,,1.0,,,,Jiangxi Dingnan United,,15657868
Chen Yang,Chen,chen-yang,C. Yang,G,24,192.0,0,M,q947hi,"{'alpha2': 'CN', 'alpha3': 'CHN', 'name': 'China', 'slug': 'china'}",1877060,EUR,953769600,"{'value': 26000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'تشين يانغ', 'ru': 'Чэнь Ян'}, 'shortNameTranslation': {'ar': 'ت. يانغ', 'ru': 'Ч. Ян'}}",Yang,196341,24,24,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jiangxi Dingnan United,,15657868
Mingxin Zhu,Mingxin Zhu,mingxin-zhu,M. Zhu,D,3,185.0,2,M,b4p3i8,"{'alpha2': 'CN', 'alpha3': 'CHN', 'name': 'China', 'slug': 'china'}",1867577,EUR,921542400,"{'value': 68000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مينغشين زو', 'ru': 'Минсинь Чжу'}, 'shortNameTranslation': {'ar': 'م. زو', 'ru': 'М. Чжу'}}",,196341,3,3,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jiangxi Dingnan United,,15657868
Bowen Yang,,bowen-yang,Y. Bowen,D,45,180.0,3,M,ek75bj,"{'alpha2': 'CN', 'alpha3': 'CHN', 'name': 'China', 'slug': 'china'}",1501580,EUR,1139097600,"{'value': 23000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بوين يانغ', 'ru': 'Боувен Ян'}, 'shortNameTranslation': {'ar': 'ب. يانغ', 'ru': 'Б. Ян'}}",,196341,45,45,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jiangxi Dingnan United,,15657868
Jiahao Yan,Jiahao,jiahao-yan,J. Yan,D,33,175.0,0,M,kvxawf,"{'alpha2': 'CN', 'alpha3': 'CHN', 'name': 'China', 'slug': 'china'}",2074749,EUR,1074470400,"{'value': 24000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جياهاو يان', 'ru': 'Цзяхао Ян'}, 'shortNameTranslation': {'ar': 'ج. يان', 'ru': 'Ц. Ян'}}",Yan,196341,33,33,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jiangxi Dingnan United,,15657868
Yetong Cheng,,yetong-chang,Y. Cheng,D,28,175.0,1,M,tdkab4,"{'alpha2': 'CN', 'alpha3': 'CHN', 'name': 'China', 'slug': 'china'}",1528090,EUR,951696000,"{'value': 77000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'يتونغ تشينغ', 'ru': 'Етонг Ченг'}, 'shortNameTranslation': {'ar': 'ي. تشينغ', 'ru': 'Е. Ченг'}}",,196341,28,28,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jiangxi Dingnan United,,15657868
Yuchen Han,Yuchen,yuchen-han,Y. Han,F,19,155.0,1,M,gw8bxt,"{'alpha2': 'CN', 'alpha3': 'CHN', 'name': 'China', 'slug': 'china'}",1894516,EUR,1190678400,"{'value': 45000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'يوتشين هان', 'ru': 'Юйчэнь Хань'}, 'shortNameTranslation': {'ar': 'ي. هان', 'ru': 'Ю. Хань'}}",Han,196341,19,19,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jiangxi Dingnan United,,15657868
