name,firstName,lastName,slug,shortName,position,jerseyNumber,userCount,gender,sofascoreId,country,id,marketValueCurrency,dateOfBirthTimestamp,fieldTranslations,height,proposedMarketValueRaw,teamId,shirtNumber,jerseyNumber,position,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,savedShotsFromInsideTheBox,penaltyFaced,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,totalBallCarriesDistance,ballCarriesCount,totalProgression,progressiveBallCarriesCount,keeperSaveValue,ratingVersions,totalShots,goalsPrevented,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,totalCross,accurateCross,duelLost,duelWon,totalContest,interceptionWon,totalTackle,wonTackle,totalOffside,bestBallCarryProgression,totalProgressiveBallCarriesDistance,aerialLost,aerialWon,onTargetScoringAttempt,hitWoodwork,fouls,expectedGoals,expectedGoalsOnTarget,shotValueNormalized,challengeLost,outfielderBlock,lastManTackle,unsuccessfulTouch,penaltyConceded,wasFouled,dispossessed,wonContest,shotOffTarget,keyPass,blockedScoringAttempt,goals,teamName,captain,match_id
Manuel Palacios,,,manuel-palacios,M. Palacios,M,7,116,M,hvdn8c,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",285823,EUR,729561600,"{'nameTranslation': {'ar': 'مانويل بالاسيوس', 'ru': 'Мануэль Палациос'}, 'shortNameTranslation': {'ar': 'م. بالاسيوس', 'ru': 'М. Палациос'}}",183.0,"{'value': 190000, 'currency': 'EUR'}",196341,7,7,F,False,44.0,35.0,3.0,1.0,0.0,9.0,10.0,26.0,34.0,1.0,1.0,,,,,,90.0,69.0,7.1,21.0,0.37726,173.81959247611,20.0,70.649981851556,4.0,,"{'original': 7.1, 'alternative': 7.2}",1,,0.53,0.29,0.21,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8.0,4.0,6.0,5.0,5.0,2.0,2.0,2.0,,15.827014133039,57.019277045338,1.0,1.0,,,,0.0456,,-0.25,,,,3.0,,,2.0,2.0,1.0,3.0,,,Jiangxi Dingnan United,,15657877
Yujie Zhang,Yujie Zhang,,yujie-zhang,Y. Zhang,D,2,6,M,cerx5d,"{'alpha2': 'CN', 'alpha3': 'CHN', 'name': 'China', 'slug': 'china'}",1115242,EUR,1016409600,"{'nameTranslation': {'ar': 'يوجي تشانغ', 'ru': 'Юйцзе Чжан'}, 'shortNameTranslation': {'ar': 'ي. تشانغ', 'ru': 'Ю. Чжан'}}",177.0,"{'value': 27000, 'currency': 'EUR'}",196341,2,2,D,True,16.0,13.0,3.0,1.0,0.0,5.0,5.0,8.0,11.0,1.0,,,,,,,45.0,37.0,6.4,8.0,0.0802112,41.37447511887,8.0,30.847556234492,0.0,,"{'original': 6.4, 'alternative': 6.6}",0,,0.25,0.0,-0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3.0,1.0,2.0,1.0,1.0,,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,Jiangxi Dingnan United,,15657877
Marcel Petrov,,,marcel-petrov,M. Petrov,F,37,45,M,eks6tr,"{'alpha2': 'SI', 'alpha3': 'SVN', 'name': 'Slovenia', 'slug': 'slovenia'}",1126636,EUR,1142812800,"{'nameTranslation': {'ar': 'مارسيل بتروف', 'ru': 'Марсель Петров'}, 'shortNameTranslation': {'ar': 'م. بتروف', 'ru': 'М. Петров'}}",182.0,"{'value': 69000, 'currency': 'EUR'}",196341,37,37,F,True,5.0,4.0,1.0,,0.0,2.0,2.0,2.0,3.0,,,,,,,,45.0,9.0,6.4,3.0,0.00277879,40.949287059839,4.0,-10.824717830377,0.0,,"{'original': 6.4, 'alternative': 6.3}",0,,0.02,-0.15,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",,,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,Jiangxi Dingnan United,,15657877
Su Gao,Su Gao,,su-gao,S. Gao,M,22,1,M,hevgxz,"{'alpha2': 'CN', 'alpha3': 'CHN', 'name': 'China', 'slug': 'china'}",2115612,EUR,1110844800,"{'nameTranslation': {'ar': 'سو قاو', 'ru': 'Су Гао'}, 'shortNameTranslation': {'ar': 'س. قاو', 'ru': 'С. Гао'}}",176.0,"{'value': 27000, 'currency': 'EUR'}",196341,22,22,M,True,21.0,19.0,3.0,2.0,0.0,11.0,11.0,8.0,10.0,1.0,3.0,,,,,,28.0,26.0,6.5,3.0,0.0100131,76.529768274819,5.0,36.249802551665,1.0,,"{'original': 6.5, 'alternative': 6.6}",1,,0.12,0.02,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",,,3.0,1.0,,,1.0,1.0,,23.77873826596,45.280764227208,,,,,1.0,0.0358,,-0.29,1.0,,,,,,1.0,,1.0,,,,Jiangxi Dingnan United,,15657877
Yetong Cheng,,,yetong-chang,Y. Cheng,D,28,1,M,tdkab4,"{'alpha2': 'CN', 'alpha3': 'CHN', 'name': 'China', 'slug': 'china'}",1528090,EUR,951696000,"{'nameTranslation': {'ar': 'يتونغ تشينغ', 'ru': 'Етонг Ченг'}, 'shortNameTranslation': {'ar': 'ي. تشينغ', 'ru': 'Е. Ченг'}}",175.0,"{'value': 77000, 'currency': 'EUR'}",196341,28,28,D,True,2.0,2.0,,,0.0,,,2.0,2.0,,,,,,,,17.0,3.0,6.3,,0.00695167,3.6947535777099,1.0,3.6679973824957,0.0,,"{'original': 6.3, 'alternative': 6.3}",0,,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jiangxi Dingnan United,,15657877
Chenghao Ma,Chenghao,Ma,chenghao-ma,C. Ma,M,9,11,M,tf4wxa,"{'alpha2': 'CN', 'alpha3': 'CHN', 'name': 'China', 'slug': 'china'}",2074746,EUR,1144800000,"{'nameTranslation': {'ar': 'ما، تشنغهاو', 'ru': 'Чэнхао Ма'}, 'shortNameTranslation': {'ar': 'ت. ما', 'ru': 'Ч. Ма'}}",178.0,"{'value': 120000, 'currency': 'EUR'}",196341,9,9,M,True,4.0,,,,0.0,,,,4.0,,,,,,,,15.0,9.0,6.4,6.0,1.954e-05,7.7623955065431,1.0,3.2909443738903,0.0,,"{'original': 6.4, 'alternative': 6.4}",0,,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",,,2.0,1.0,2.0,,,,,,,1.0,,,,,,,,,,,1.0,,,,1.0,,,,,Jiangxi Dingnan United,,15657877
Chen Yang,Chen,Yang,chen-yang,C. Yang,G,24,0,M,q947hi,"{'alpha2': 'CN', 'alpha3': 'CHN', 'name': 'China', 'slug': 'china'}",1877060,EUR,953769600,"{'nameTranslation': {'ar': 'تشين يانغ', 'ru': 'Чэнь Ян'}, 'shortNameTranslation': {'ar': 'ت. يانغ', 'ru': 'Ч. Ян'}}",192.0,"{'value': 26000, 'currency': 'EUR'}",196341,24,24,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jiangxi Dingnan United,,15657877
Jiahao Yan,Jiahao,Yan,jiahao-yan,J. Yan,D,33,0,M,kvxawf,"{'alpha2': 'CN', 'alpha3': 'CHN', 'name': 'China', 'slug': 'china'}",2074749,EUR,1074470400,"{'nameTranslation': {'ar': 'جياهاو يان', 'ru': 'Цзяхао Ян'}, 'shortNameTranslation': {'ar': 'ج. يان', 'ru': 'Ц. Ян'}}",175.0,"{'value': 24000, 'currency': 'EUR'}",196341,33,33,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jiangxi Dingnan United,,15657877
Bowen Yang,,,bowen-yang,Y. Bowen,D,45,3,M,ek75bj,"{'alpha2': 'CN', 'alpha3': 'CHN', 'name': 'China', 'slug': 'china'}",1501580,EUR,1139097600,"{'nameTranslation': {'ar': 'بوين يانغ', 'ru': 'Боувен Ян'}, 'shortNameTranslation': {'ar': 'ب. يانغ', 'ru': 'Б. Ян'}}",180.0,"{'value': 23000, 'currency': 'EUR'}",196341,45,45,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jiangxi Dingnan United,,15657877
Li Jiarong,Li Jiarong,,li-jiarong,L. Jiarong,D,41,0,M,ikywqj,"{'alpha2': 'CN', 'alpha3': 'CHN', 'name': 'China', 'slug': 'china'}",2593339,EUR,1140912000,"{'nameTranslation': {'ru': 'Ли Цзяжун'}, 'shortNameTranslation': {'ru': 'Л. Цзяжун'}}",181.0,,196341,41,41,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jiangxi Dingnan United,,15657877
Mingxin Zhu,Mingxin Zhu,,mingxin-zhu,M. Zhu,D,3,2,M,b4p3i8,"{'alpha2': 'CN', 'alpha3': 'CHN', 'name': 'China', 'slug': 'china'}",1867577,EUR,921542400,"{'nameTranslation': {'ar': 'مينغشين زو', 'ru': 'Минсинь Чжу'}, 'shortNameTranslation': {'ar': 'م. زو', 'ru': 'М. Чжу'}}",185.0,"{'value': 68000, 'currency': 'EUR'}",196341,3,3,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jiangxi Dingnan United,,15657877
Ruiqi Zhang,Ruiqi Zhang,,ruiqi-zhang,R. Zhang,F,32,0,M,xdknwz,"{'alpha2': 'CN', 'alpha3': 'CHN', 'name': 'China', 'slug': 'china'}",2501143,EUR,1162080000,"{'nameTranslation': {'ar': 'روي تشي تشانغ', 'ru': 'Жуйци Чжан'}, 'shortNameTranslation': {'ar': 'ر. تشانغ', 'ru': 'Ж. Чжан'}}",178.0,,196341,32,32,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jiangxi Dingnan United,,15657877
Yuchen Han,Yuchen,Han,yuchen-han,Y. Han,F,19,1,M,gw8bxt,"{'alpha2': 'CN', 'alpha3': 'CHN', 'name': 'China', 'slug': 'china'}",1894516,EUR,1190678400,"{'nameTranslation': {'ar': 'يوتشين هان', 'ru': 'Юйчэнь Хань'}, 'shortNameTranslation': {'ar': 'ي. هان', 'ru': 'Ю. Хань'}}",155.0,"{'value': 45000, 'currency': 'EUR'}",196341,19,19,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jiangxi Dingnan United,,15657877
